Rank,Country Name,Country_Encoded,Country ISO,HDI Score,Life expectancy,Expected yrs of schooling,Mean yrs of schooling,GNI per capita,Development Tier,Health_Index,Expected_Schooling_Index,Mean_Schooling_Index,Education_Index,GNI_Cleaned,Income_Index
92,Mongolia,119,MON,0.735,69.8,14.8,9.8,10449.0,High,0.7661538461538461,0.8222222222222223,0.6533333333333334,0.7377777777777779,10449.0,0.7022718976068021
93,Saint Lucia,148,SAI,0.735,75.2,13.1,9.3,9791.0,High,0.8492307692307692,0.7277777777777777,0.62,0.6738888888888889,9791.0,0.6924468274526113
94,Jamaica,90,JAM,0.729,75.8,12.8,9.6,8350.0,High,0.8584615384615384,0.7111111111111111,0.64,0.6755555555555556,8350.0,0.6683984442184008
95,Colombia,36,COL,0.728,74.2,13.6,7.6,12762.0,High,0.8338461538461539,0.7555555555555555,0.5066666666666666,0.6311111111111111,12762.0,0.7324778665071044
96,Dominica,48,DOM,0.727,77.9,12.8,7.9,10096.0,High,0.8907692307692309,0.7111111111111111,0.5266666666666667,0.6188888888888889,10096.0,0.6970805691756883
97,Tunisia,179,TUN,0.724,75.0,14.6,7.1,10249.0,High,0.8461538461538461,0.8111111111111111,0.47333333333333333,0.6422222222222222,10249.0,0.6993525733637584
98,Suriname,166,SUR,0.725,71.3,12.7,8.3,16018.0,High,0.7892307692307692,0.7055555555555555,0.5533333333333333,0.6294444444444445,16018.0,0.7668039347190352
99,Saint Vincent and the Grenadines,149,SAI,0.721,73.0,13.3,8.6,10372.0,High,0.8153846153846154,0.7388888888888889,0.5733333333333334,0.6561111111111111,10372.0,0.7011546271258261
100,Dominican Republic,49,DOM,0.723,73.7,13.2,7.7,12756.0,High,0.8261538461538462,0.7333333333333333,0.5133333333333333,0.6233333333333333,12756.0,0.7324068315980221
101,Tonga,177,TON,0.721,73.0,14.3,11.1,5284.0,High,0.8153846153846154,0.7944444444444445,0.74,0.7672222222222222,5284.0,0.5992786417740247
102,Libya,104,LIB,0.716,71.8,13.4,7.3,14303.0,High,0.7969230769230768,0.7444444444444445,0.48666666666666664,0.6155555555555555,14303.0,0.7496978120379416
103,Belize,17,BEL,0.707,70.1,12.8,10.5,7375.0,High,0.7707692307692307,0.7111111111111111,0.7,0.7055555555555555,7375.0,0.6496425131639834
104,Samoa,150,SAM,0.704,73.7,12.9,10.3,5372.0,High,0.8261538461538462,0.7166666666666667,0.6866666666666668,0.7016666666666667,5372.0,0.6017736129753432
105,Uzbekistan,188,UZB,0.7,69.4,12.2,12.0,5748.0,High,0.7600000000000001,0.6777777777777777,0.8,0.7388888888888889,5748.0,0.6119927884202689
106,Maldives,111,MAL,0.701,77.0,12.7,6.2,10383.0,High,0.8769230769230769,0.7055555555555555,0.41333333333333333,0.5594444444444444,10383.0,0.7013147440326684
107,Moldova (Republic of),118,MOL,0.699,71.7,11.8,11.9,5026.0,Medium,0.7953846153846155,0.6555555555555556,0.7933333333333333,0.7244444444444444,5026.0,0.5917169508414688
108,Botswana,22,BOT,0.697,64.5,12.6,9.2,14663.0,Medium,0.6846153846153846,0.7,0.6133333333333333,0.6566666666666666,14663.0,0.7534527566959038
109,Gabon,67,GAB,0.698,64.9,12.6,8.1,19044.0,Medium,0.6907692307692308,0.7,0.5399999999999999,0.6199999999999999,19044.0,0.7929424676373854
110,Paraguay,138,PAR,0.692,73.0,12.3,8.1,8182.0,Medium,0.8153846153846154,0.6833333333333333,0.5399999999999999,0.6116666666666666,8182.0,0.6653282486599124
111,Turkmenistan,181,TUR,0.692,65.7,10.8,9.9,14026.0,Medium,0.7030769230769232,0.6000000000000001,0.66,0.6300000000000001,14026.0,0.7467436822650636
112,Egypt,58,EGY,0.691,71.3,13.1,7.1,10064.0,Medium,0.7892307692307692,0.7277777777777777,0.47333333333333333,0.6005555555555555,10064.0,0.6966010267685678
113,Indonesia,84,IND,0.689,69.1,12.9,7.9,10053.0,Medium,0.7553846153846153,0.7166666666666667,0.5266666666666667,0.6216666666666667,10053.0,0.6964358318378346
114,"Palestine, State of",135,PAL,0.683,73.1,12.8,8.9,5256.0,Medium,0.8169230769230769,0.7111111111111111,0.5933333333333334,0.6522222222222223,5256.0,0.5984760667401826
115,Viet Nam,191,VIE,0.683,75.9,12.6,8.0,5335.0,Medium,0.8600000000000001,0.7,0.5333333333333333,0.6166666666666667,5335.0,0.6007296073138261
116,Philippines,140,PHI,0.681,68.3,11.7,9.3,8395.0,Medium,0.7430769230769231,0.6499999999999999,0.62,0.635,8395.0,0.6692103312624049
117,El Salvador,59,EL ,0.68,73.3,13.2,6.5,7732.0,Medium,0.82,0.7333333333333333,0.43333333333333335,0.5833333333333333,7732.0,0.65678316820592
118,Bolivia (Plurinational State of),20,BOL,0.674,68.7,13.8,8.2,6155.0,Medium,0.7492307692307693,0.7666666666666667,0.5466666666666666,0.6566666666666667,6155.0,0.6223269326638936
119,South Africa,161,SOU,0.666,57.7,13.0,10.3,12087.0,Medium,0.5800000000000001,0.7222222222222222,0.6866666666666668,0.7044444444444444,12087.0,0.7242692698838482
